ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,AvailabiliyYear,Type,Fuel,EndUse,InterestRate,Agent2,Agent1
comBoilerElectric,BajaCalifSouth,2020,fixed,3.80886809,1,0.380886809,1,0,1,1.115578134,100,130.8582883,15,0.95,1,0.95,1,energy,electricity,heating_com,0.1,1,0
comBoilerElectriciy_solarT,BajaCalifSouth,2020,fixed,11.89087615,1,1.189087615,1,0,1,0.892462506,100,130.8582883,15,0.95,1,0.95,1,energy,electricity,heating_com,0.1,1,0
comBoilerNG,BajaCalifSouth,2020,fixed,4.958037512,1,0.495803751,1,0,1,3.356974242,100,130.8582883,15,0.95,1,0.84,1,energy,gas,heating_com,0.1,1,0
comBoilerNG_solarT,BajaCalifSouth,2020,fixed,13.01404627,1,1.301404627,1,0,1,58.30966074,100,130.8582883,15,0.95,1,0.84,1,energy,gas,heating_com,0.1,1,0
comCHPBiomass,BajaCalifSouth,2020,fixed,29.4778833,1,1.324848687,1,0,1,5.970798768,100,130.8582883,25,0.845335431,1,0.8,0.35,energy,biomass,heating_com,0.1,1,0
comCHPNG,BajaCalifSouth,2020,fixed,23.3648397,1,0.928788659,1,0,1,23.97141915,100,130.8582883,25,0.845335431,1,0.8,0.35,energy,gas,heating_com,0.1,1,0
comCookingBiomass,BajaCalifSouth,2020,fixed,2.275955536,1,0.170696665,1,0,1,865.64478,100,30507.34637,14,1,1,0.45,1,energy,biomass,cook_com,0.1,1,0
comCookingElec,BajaCalifSouth,2020,fixed,15.13255183,1,0.756627591,1,0,1,145.5624152,100,30507.34637,14,1,1,1.307298347,1,energy,electricity,cook_com,0.1,1,0
comCookingNG,BajaCalifSouth,2020,fixed,16.15014208,1,0.807507104,1,0,1,335.7399126,100,30507.34637,14,1,1,0.957767695,1,energy,gas,cook_com,0.1,1,0
comDHBiomass,BajaCalifSouth,2020,fixed,33.91529837,1,0.16544048,1,0,1,2.640738195,100,130.8582883,25,0.9,1,0.9,0.15,energy,biomass,heating_com,0.1,1,0
comDHHeatPump,BajaCalifSouth,2020,fixed,8.106583512,1,0.055146827,1,0,1,1.366175823,100,130.8582883,25,0.9,1,0.9,0.15,energy,electricity,heating_com,0.1,1,0
comDHNG,BajaCalifSouth,2020,fixed,5.128654875,1,0.16544048,1,0,1,2.72778654,100,130.8582883,25,0.9,1,0.9,0.15,energy,gas,heating_com,0.1,1,0
comDHSolarWater,BajaCalifSouth,2020,fixed,78.80481523,1,0.220587306,1,0,1,10,100,1101.969031,30,0.9,1,0.8,0.15,energy,solar,heating_com,0.1,1,0
comDHThermalStorage,BajaCalifSouth,2020,fixed,1000000,1,0.005762546,1,0,1,10,100,130.8582883,30,0.9,1,0.99,0.15,energy,heat,heating_com,0.1,1,0
comDHWasteHeatOfftake,BajaCalifSouth,2020,fixed,1000000,1,54229.24901,1,0,1,10,100,130.8582883,50,0.9,1,1,0.15,energy,heat,heating_com,0.1,1,0
comElectricNightStorage,BajaCalifSouth,2020,fixed,0.00173911,1,0.00173911,1,0,1,15,100,130.8582883,15,0.95,1,1,1,energy,electricity,heating_com,0.1,1,0
comASHeatPump,BajaCalifSouth,2020,fixed,53.86775792,1,2.693387896,1,0,1,1031.622923,100,130.8582883,20,0.95,1,2.51,1,energy,electricity,heating_com,0.1,1,0
comASHeatPump_solarT,BajaCalifSouth,2020,fixed,71.72623854,1,3.586311927,1,0,1,825.298338,100,130.8582883,20,0.95,1,2.51,1,energy,electricity,heating_com,0.1,1,0
comGSHeatPump,BajaCalifSouth,2020,fixed,102.2569556,1,5.112847782,1,0,1,45.37043718,100,130.8582883,20,0.7,1,2.84,1,energy,electricity,heating_com,0.1,1,0
comGSHeatPump_solarT,BajaCalifSouth,2020,fixed,117.3021108,1,3.586311927,1,0,1,36.29634975,100,130.8582883,20,0.7,1,2.84,1,energy,electricity,heating_com,0.1,1,0
comLightingLED,BajaCalifSouth,2020,fixed,1.914820369,1,2,1,0,1,75.9607614,100,900.7569352,21,1,1,8.571428571,1,energy,electricity,light_com,0.1,1,0
comMicroCHPBiomass,BajaCalifSouth,2020,fixed,42.58231178,1,2.129115589,1,0,1,15,100,130.8582883,15,0.95,1,0.8,1,energy,biomass,heating_com,0.1,1,0
comMicroCHPNG,BajaCalifSouth,2020,fixed,15.96836692,1,0.798418346,1,0,1,15,100,130.8582883,15,0.95,1,0.8,1,energy,gas,heating_com,0.1,1,0
comElectricResSA,BajaCalifSouth,2020,fixed,4.558964074,1,0.455896407,1,0,1,15,100,130.8582883,15,0.95,1,0.9,1,energy,electricity,heating_com,0.1,1,0
comElectricResSA_storage,BajaCalifSouth,2020,fixed,5.210244656,1,0.521024466,1,0,1,15,100,130.8582883,15,0.95,1,0.7,1,energy,electricity,heating_com,0.1,1,0
comNGSA,BajaCalifSouth,2020,fixed,10.62344577,1,1.062344577,1,0,1,15,100,130.8582883,15,0.95,1,0.7,1,energy,gas,heating_com,0.1,1,0
comHWaterBiomass,BajaCalifSouth,2020,fixed,10.02972096,1,1.002972096,1,0,1,24.34809518,100,1101.969031,15,0.95,1,0.5,1,energy,biomass,hwater_com,0.1,1,0
comHWaterElec,BajaCalifSouth,2020,fixed,10.62344577,1,1.062344577,1,0,1,1.903577742,100,1101.969031,15,0.95,1,0.85,1,energy,electricity,hwater_com,0.1,1,0
comHWaterNG,BajaCalifSouth,2020,fixed,4.558964074,1,0.455896407,1,0,1,28.77689615,100,1101.969031,15,0.95,1,0.8,1,energy,gas,hwater_com,0.1,1,0
comACHFC_HC,BajaCalifSouth,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comACHFO_HC,BajaCalifSouth,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comBoilerBiomass_HC,BajaCalifSouth,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comBoilerElectric_HC,BajaCalifSouth,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comBoilerNG_HC,BajaCalifSouth,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comHVAC_HFC_HC,BajaCalifSouth,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comHVAC_HFO_HC,BajaCalifSouth,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comHWaterBiomass_HC,BajaCalifSouth,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comHWaterElec_HC,BajaCalifSouth,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comHWaterLFO_HC,BajaCalifSouth,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comHWaterNG_HC,BajaCalifSouth,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comLightingFluorescent,BajaCalifSouth,2020,fixed,0.718057638,1,2,1,0,1,88.62,100,900.76,7,1,1,4,1,energy,electricity,light_com,0.1,1,0
comLightingOtherCCL,BajaCalifSouth,2020,fixed,0.239352546,1,2,1,0,1,126.6,100,900.76,1,1,1,1,1,energy,electricity,light_com,0.1,1,0
comAC,Peninsular,2020,fixed,8.975720478,1,0.448786024,1,0,1,54.45865269,100,243.7781554,15,1,1,0.555555556,1,energy,electricity,cool_com,0.1,1,0
comAppliancesCon,Peninsular,2020,fixed,29.71845485,1,2.604155701,1,0,1,77.79807525,100,549.9234635,11,1,1,0.753690083,1,energy,electricity,appl_com,0.1,1,0
comBoilerBiomass,Peninsular,2020,fixed,41.20036898,1,4.120036898,1,0,1,5.59837035,100,130.8582883,20,0.95,1,0.74,1,energy,biomass,heating_com,0.1,1,0
comBoilerBiomass_solarT,Peninsular,2020,fixed,48.43641548,1,4.843641548,1,0,1,4.47869628,100,130.8582883,20,0.95,1,0.74,1,energy,biomass,heating_com,0.1,1,0
comBoilerElectric,Peninsular,2020,fixed,3.80886809,1,0.380886809,1,0,1,1.115578134,100,130.8582883,15,0.95,1,0.95,1,energy,electricity,heating_com,0.1,1,0
comBoilerElectriciy_solarT,Peninsular,2020,fixed,11.89087615,1,1.189087615,1,0,1,0.892462506,100,130.8582883,15,0.95,1,0.95,1,energy,electricity,heating_com,0.1,1,0
comBoilerNG,Peninsular,2020,fixed,4.958037512,1,0.495803751,1,0,1,3.356974242,100,130.8582883,15,0.95,1,0.84,1,energy,gas,heating_com,0.1,1,0
comBoilerNG_solarT,Peninsular,2020,fixed,13.01404627,1,1.301404627,1,0,1,58.30966074,100,130.8582883,15,0.95,1,0.84,1,energy,gas,heating_com,0.1,1,0
comCHPBiomass,Peninsular,2020,fixed,29.4778833,1,1.324848687,1,0,1,5.970798768,100,130.8582883,25,0.845335431,1,0.8,0.35,energy,biomass,heating_com,0.1,1,0
comCHPNG,Peninsular,2020,fixed,23.3648397,1,0.928788659,1,0,1,23.97141915,100,130.8582883,25,0.845335431,1,0.8,0.35,energy,gas,heating_com,0.1,1,0
comCookingBiomass,Peninsular,2020,fixed,2.275955536,1,0.170696665,1,0,1,865.64478,100,30507.34637,14,1,1,0.45,1,energy,biomass,cook_com,0.1,1,0
comCookingElec,Peninsular,2020,fixed,15.13255183,1,0.756627591,1,0,1,145.5624152,100,30507.34637,14,1,1,1.307298347,1,energy,electricity,cook_com,0.1,1,0
comCookingNG,Peninsular,2020,fixed,16.15014208,1,0.807507104,1,0,1,335.7399126,100,30507.34637,14,1,1,0.957767695,1,energy,gas,cook_com,0.1,1,0
comDHBiomass,Peninsular,2020,fixed,33.91529837,1,0.16544048,1,0,1,2.640738195,100,130.8582883,25,0.9,1,0.9,0.15,energy,biomass,heating_com,0.1,1,0
comDHHeatPump,Peninsular,2020,fixed,8.106583512,1,0.055146827,1,0,1,1.366175823,100,130.8582883,25,0.9,1,0.9,0.15,energy,electricity,heating_com,0.1,1,0
comDHNG,Peninsular,2020,fixed,5.128654875,1,0.16544048,1,0,1,2.72778654,100,130.8582883,25,0.9,1,0.9,0.15,energy,gas,heating_com,0.1,1,0
comDHSolarWater,Peninsular,2020,fixed,78.80481523,1,0.220587306,1,0,1,10,100,1101.969031,30,0.9,1,0.8,0.15,energy,solar,heating_com,0.1,1,0
comDHThermalStorage,Peninsular,2020,fixed,1000000,1,0.005762546,1,0,1,10,100,130.8582883,30,0.9,1,0.99,0.15,energy,heat,heating_com,0.1,1,0
comDHWasteHeatOfftake,Peninsular,2020,fixed,1000000,1,54229.24901,1,0,1,10,100,130.8582883,50,0.9,1,1,0.15,energy,heat,heating_com,0.1,1,0
comElectricNightStorage,Peninsular,2020,fixed,0.00173911,1,0.00173911,1,0,1,15,100,130.8582883,15,0.95,1,1,1,energy,electricity,heating_com,0.1,1,0
comASHeatPump,Peninsular,2020,fixed,53.86775792,1,2.693387896,1,0,1,1031.622923,100,130.8582883,20,0.95,1,2.51,1,energy,electricity,heating_com,0.1,1,0
comASHeatPump_solarT,Peninsular,2020,fixed,71.72623854,1,3.586311927,1,0,1,825.298338,100,130.8582883,20,0.95,1,2.51,1,energy,electricity,heating_com,0.1,1,0
comGSHeatPump,Peninsular,2020,fixed,102.2569556,1,5.112847782,1,0,1,45.37043718,100,130.8582883,20,0.7,1,2.84,1,energy,electricity,heating_com,0.1,1,0
comGSHeatPump_solarT,Peninsular,2020,fixed,117.3021108,1,3.586311927,1,0,1,36.29634975,100,130.8582883,20,0.7,1,2.84,1,energy,electricity,heating_com,0.1,1,0
comLightingLED,Peninsular,2020,fixed,1.914820369,1,2,1,0,1,75.9607614,100,900.7569352,21,1,1,8.571428571,1,energy,electricity,light_com,0.1,1,0
comMicroCHPBiomass,Peninsular,2020,fixed,42.58231178,1,2.129115589,1,0,1,15,100,130.8582883,15,0.95,1,0.8,1,energy,biomass,heating_com,0.1,1,0
comMicroCHPNG,Peninsular,2020,fixed,15.96836692,1,0.798418346,1,0,1,15,100,130.8582883,15,0.95,1,0.8,1,energy,gas,heating_com,0.1,1,0
comElectricResSA,Peninsular,2020,fixed,4.558964074,1,0.455896407,1,0,1,15,100,130.8582883,15,0.95,1,0.9,1,energy,electricity,heating_com,0.1,1,0
comElectricResSA_storage,Peninsular,2020,fixed,5.210244656,1,0.521024466,1,0,1,15,100,130.8582883,15,0.95,1,0.7,1,energy,electricity,heating_com,0.1,1,0
comNGSA,Peninsular,2020,fixed,10.62344577,1,1.062344577,1,0,1,15,100,130.8582883,15,0.95,1,0.7,1,energy,gas,heating_com,0.1,1,0
comHWaterBiomass,Peninsular,2020,fixed,10.02972096,1,1.002972096,1,0,1,24.34809518,100,1101.969031,15,0.95,1,0.5,1,energy,biomass,hwater_com,0.1,1,0
comHWaterElec,Peninsular,2020,fixed,10.62344577,1,1.062344577,1,0,1,1.903577742,100,1101.969031,15,0.95,1,0.85,1,energy,electricity,hwater_com,0.1,1,0
comHWaterNG,Peninsular,2020,fixed,4.558964074,1,0.455896407,1,0,1,28.77689615,100,1101.969031,15,0.95,1,0.8,1,energy,gas,hwater_com,0.1,1,0
comACHFC_HC,Peninsular,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comACHFO_HC,Peninsular,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comBoilerBiomass_HC,Peninsular,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comBoilerElectric_HC,Peninsular,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comBoilerNG_HC,Peninsular,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comHVAC_HFC_HC,Peninsular,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comHVAC_HFO_HC,Peninsular,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comHWaterBiomass_HC,Peninsular,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comHWaterElec_HC,Peninsular,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comHWaterLFO_HC,Peninsular,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comHWaterNG_HC,Peninsular,2020,fixed,5,1,2,1,0,1,10,100,50,20,1,1,0.8,1,energy,electricity,hwater_com,0.1,1,0
comLightingFluorescent,Peninsular,2020,fixed,0.718057638,1,2,1,0,1,88.62,100,900.76,7,1,1,4,1,energy,electricity,light_com,0.1,1,0
comLightingOtherCCL,Peninsular,2020,fixed,0.239352546,1,2,1,0,1,126.6,100,900.76,1,1,1,1,1,energy,electricity,light_com,0.1,1,0
